County,Year,Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Rate (per 10k),Rate predict
Contra Costa,2014,1,1,0,0,1,0,0,68.49,122.833902381
Contra Costa,2014,0,0,0,0,1,0,0,22.29,59.5973333333
Contra Costa,2014,0,1,0,0,1,0,0,44.34,66.4926888889
Contra Costa,2014,1,0,0,0,0,1,0,108.9,72.8471746032
Contra Costa,2014,1,1,0,0,0,1,0,168.73,122.833902381
Contra Costa,2014,0,0,0,0,0,1,0,71.27,59.5973333333
Contra Costa,2014,0,1,0,0,0,1,0,113.35,66.4926888889
Contra Costa,2014,1,0,0,0,0,0,1,75.19,79.5291111111
Contra Costa,2014,1,1,0,0,0,0,1,234.03,215.414766667
Contra Costa,2014,0,0,0,0,0,0,1,61.54,64.0817
Contra Costa,2014,0,1,0,0,0,0,1,124.24,117.829111111
Contra Costa,2014,1,0,1,0,0,0,0,35.2,72.8471746032
Contra Costa,2014,1,1,1,0,0,0,0,70.74,122.833902381
Contra Costa,2014,0,0,1,0,0,0,0,36.17,59.5973333333
Contra Costa,2014,0,1,1,0,0,0,0,37.82,66.4926888889
El Dorado,2014,0,0,0,0,0,1,0,46.69,40.2139777778
El Dorado,2014,0,1,0,0,0,1,0,40.98,40.4149444444
El Dorado,2014,0,0,0,0,0,0,1,211.19,343.947111111
El Dorado,2014,0,1,0,0,0,0,1,143.8,368.570444444
El Dorado,2014,1,1,1,0,0,0,0,81.44,88.3166222222
El Dorado,2014,0,0,1,0,0,0,0,37.84,40.2139777778
El Dorado,2014,0,1,1,0,0,0,0,47.67,40.4149444444
Fresno,2014,1,0,0,1,0,0,0,413.65,398.795222222
Fresno,2014,1,1,0,1,0,0,0,774.68,672.672533333
Fresno,2014,0,0,0,1,0,0,0,208.31,229.0718
Fresno,2014,0,1,0,1,0,0,0,372.57,353.660822222
Fresno,2014,1,0,0,0,1,0,0,72.39,129.928622222
Fresno,2014,1,1,0,0,1,0,0,104.19,136.5074
Fresno,2014,0,0,0,0,1,0,0,28.17,91.8295888889
Fresno,2014,0,1,0,0,1,0,0,36.59,134.279866667
Fresno,2014,1,0,0,0,0,1,0,175.3,129.928622222
Fresno,2014,1,1,0,0,0,1,0,285.19,136.5074
Fresno,2014,0,0,0,0,0,1,0,111.08,91.8295888889
Fresno,2014,0,1,0,0,0,1,0,164.81,134.279866667
Fresno,2014,1,1,0,0,0,0,1,94.72,295.3517
Fresno,2014,0,0,0,0,0,0,1,39.45,76.3123333333
Fresno,2014,0,1,0,0,0,0,1,93.74,224.682211111
Fresno,2014,1,0,1,0,0,0,0,136.65,129.928622222
Fresno,2014,1,1,1,0,0,0,0,187.07,136.5074
Fresno,2014,0,0,1,0,0,0,0,106.29,91.8295888889
Fresno,2014,0,1,1,0,0,0,0,146.99,134.279866667
Humboldt,2014,1,1,1,0,0,0,0,111.51,131.577404762
Humboldt,2014,0,0,1,0,0,0,0,78.47,68.8205555556
Humboldt,2014,0,1,1,0,0,0,0,52.69,60.1586666667
Imperial,2014,1,0,0,0,0,1,0,65.26,101.337777778
Imperial,2014,1,1,0,0,0,1,0,154.6,238.199777778
Imperial,2014,0,0,0,0,0,1,0,114.96,126.132888889
Imperial,2014,0,1,0,0,0,1,0,212.78,164.984166667
Imperial,2014,0,0,1,0,0,0,0,133.86,126.132888889
Imperial,2014,0,1,1,0,0,0,0,148.06,164.984166667
Kern,2014,1,0,0,1,0,0,0,282.43,374.530066667
Kern,2014,1,1,0,1,0,0,0,579.56,518.092777778
Kern,2014,0,0,0,1,0,0,0,304.28,247.265
Kern,2014,0,1,0,1,0,0,0,333.77,323.969277778
Kern,2014,1,0,0,0,0,1,0,66.59,71.3261111111
Kern,2014,1,1,0,0,0,1,0,134.84,128.108580952
Kern,2014,0,0,0,0,0,1,0,61.7,68.353
Kern,2014,0,1,0,0,0,1,0,99.81,89.3480555556
Kern,2014,1,1,0,0,0,0,1,171.34,439.6309
Kern,2014,0,0,0,0,0,0,1,50.02,126.864388889
Kern,2014,0,1,0,0,0,0,1,91.51,162.136722222
Kern,2014,1,0,1,0,0,0,0,74.02,71.3261111111
Kern,2014,1,1,1,0,0,0,0,123.6,128.108580952
Kern,2014,0,0,1,0,0,0,0,71.5,68.353
Kern,2014,0,1,1,0,0,0,0,89.62,89.3480555556
Kings,2014,0,0,0,1,0,0,0,200.52,265.783833333
Kings,2014,0,1,0,1,0,0,0,591.78,344.487622222
Kings,2014,1,0,0,0,0,1,0,60.21,93.2228888889
Kings,2014,1,1,0,0,0,1,0,261.4,261.0755
Kings,2014,0,0,0,0,0,1,0,76.23,94.2668888889
Kings,2014,0,1,0,0,0,1,0,134.97,115.428885714
Kings,2014,1,0,1,0,0,0,0,131.25,93.2228888889
Kings,2014,1,1,1,0,0,0,0,178.67,261.0755
Kings,2014,0,0,1,0,0,0,0,126.04,94.2668888889
Kings,2014,0,1,1,0,0,0,0,188.8,115.428885714
Lake,2014,1,0,1,0,0,0,0,123.97,157.512755556
Lake,2014,1,1,1,0,0,0,0,197.93,181.7595
Lake,2014,0,0,1,0,0,0,0,59.48,58.4247777778
Lake,2014,0,1,1,0,0,0,0,92.14,77.7489444444
Los Angeles,2014,1,0,0,1,0,0,0,247.9,247.995266667
Los Angeles,2014,1,1,0,1,0,0,0,416.86,454.154777778
Los Angeles,2014,0,0,0,1,0,0,0,194.3,189.268555556
Los Angeles,2014,0,1,0,1,0,0,0,312.75,290.599611111
Los Angeles,2014,1,0,0,0,1,0,0,23.48,60.8147333333
Los Angeles,2014,1,1,0,0,1,0,0,48.53,108.860666667
Los Angeles,2014,0,0,0,0,1,0,0,15.4,27.7989444444
Los Angeles,2014,0,1,0,0,1,0,0,32.89,49.07
Los Angeles,2014,1,0,0,0,0,1,0,70.09,60.8147333333
Los Angeles,2014,1,1,0,0,0,1,0,134.56,108.860666667
Los Angeles,2014,0,0,0,0,0,1,0,60.47,27.7989444444
Los Angeles,2014,0,1,0,0,0,1,0,101.05,49.07
Los Angeles,2014,1,0,0,0,0,0,1,94.5,97.7019444444
Los Angeles,2014,1,1,0,0,0,0,1,189.94,201.299466667
Los Angeles,2014,0,0,0,0,0,0,1,81.04,91.3050444444
Los Angeles,2014,0,1,0,0,0,0,1,133.77,134.485666667
Los Angeles,2014,1,0,1,0,0,0,0,35.16,60.8147333333
Los Angeles,2014,1,1,1,0,0,0,0,68.91,108.860666667
Los Angeles,2014,0,0,1,0,0,0,0,39.18,27.7989444444
Los Angeles,2014,0,1,1,0,0,0,0,54.63,49.07
Madera,2014,1,0,0,0,0,1,0,190.41,153.462888889
Madera,2014,1,1,0,0,0,1,0,285.28,272.819
Madera,2014,0,0,0,0,0,1,0,85.12,88.4612222222
Madera,2014,0,1,0,0,0,1,0,136.85,110.388888889
Madera,2014,1,0,1,0,0,0,0,127.27,153.462888889
Madera,2014,1,1,1,0,0,0,0,240.96,272.819
Madera,2014,0,0,1,0,0,0,0,82.13,88.4612222222
Madera,2014,0,1,1,0,0,0,0,91.59,110.388888889
Marin,2014,0,1,0,1,0,0,0,315.09,255.162233333
Marin,2014,1,1,0,0,0,1,0,145.45,98.6205555556
Marin,2014,0,0,0,0,0,1,0,35.19,30.7606888889
Marin,2014,0,1,0,0,0,1,0,61.6,44.3892777778
Marin,2014,1,1,1,0,0,0,0,50.1,98.6205555556
Marin,2014,0,0,1,0,0,0,0,29.46,30.7606888889
Marin,2014,0,1,1,0,0,0,0,23.73,44.3892777778
Mendocino,2014,0,1,0,0,0,1,0,103.13,69.4952777778
Mendocino,2014,1,0,0,0,0,0,1,557.77,397.782333333
Mendocino,2014,0,0,1,0,0,0,0,50.03,70.7751333333
Mendocino,2014,0,1,1,0,0,0,0,67.7,69.4952777778
Merced,2014,1,1,0,1,0,0,0,1322.75,1087.28755556
Merced,2014,0,0,0,1,0,0,0,311.34,296.291422222
Merced,2014,0,1,0,1,0,0,0,440.64,441.025222222
Merced,2014,1,0,0,0,0,1,0,135.36,126.205611111
Merced,2014,1,1,0,0,0,1,0,240.53,239.292746032
Merced,2014,0,0,0,0,0,1,0,72.52,106.2388
Merced,2014,0,1,0,0,0,1,0,152.4,116.359833333
Merced,2014,1,0,1,0,0,0,0,102.7,126.205611111
Merced,2014,1,1,1,0,0,0,0,262.33,239.292746032
Merced,2014,0,0,1,0,0,0,0,79.06,106.2388
Merced,2014,0,1,1,0,0,0,0,112.8,116.359833333
Monterey,2014,1,0,0,0,0,1,0,91.59,78.1893555556
Monterey,2014,1,1,0,0,0,1,0,129.86,115.708611111
Monterey,2014,0,0,0,0,0,1,0,59.28,46.2365333333
Monterey,2014,0,1,0,0,0,1,0,93.65,58.2296666667
Monterey,2014,0,0,0,0,0,0,1,95.56,96.3616333333
Monterey,2014,0,1,0,0,0,0,1,79.39,108.240412698
Monterey,2014,1,0,1,0,0,0,0,59.52,78.1893555556
Monterey,2014,1,1,1,0,0,0,0,60.79,115.708611111
Monterey,2014,0,0,1,0,0,0,0,38.08,46.2365333333
Monterey,2014,0,1,1,0,0,0,0,46.79,58.2296666667
Napa,2014,1,0,0,0,0,1,0,63.05,62.7081111111
Napa,2014,1,1,0,0,0,1,0,103.42,98.8147333333
Napa,2014,0,0,0,0,0,1,0,47.12,37.8758888889
Napa,2014,0,1,0,0,0,1,0,64.23,60.9263333333
Napa,2014,1,1,1,0,0,0,0,108.11,98.8147333333
Napa,2014,0,0,1,0,0,0,0,41.57,37.8758888889
Napa,2014,0,1,1,0,0,0,0,58.51,60.9263333333
Nevada,2014,1,1,1,0,0,0,0,77.37,81.8010333333
Nevada,2014,0,0,1,0,0,0,0,28.18,43.3419777778
Nevada,2014,0,1,1,0,0,0,0,33.65,42.2079444444
Orange,2014,1,0,0,1,0,0,0,191.24,189.349077778
Orange,2014,1,1,0,1,0,0,0,251.52,288.055833333
Orange,2014,0,0,0,1,0,0,0,144.55,142.5482
Orange,2014,0,1,0,1,0,0,0,220.2,204.311936508
Orange,2014,1,0,0,0,1,0,0,23.79,43.2198111111
Orange,2014,1,1,0,0,1,0,0,51.38,86.0307555556
Orange,2014,0,0,0,0,1,0,0,14.33,33.7914444444
Orange,2014,0,1,0,0,1,0,0,26.59,40.7376555556
Orange,2014,1,0,0,0,0,1,0,60.42,43.2198111111
Orange,2014,1,1,0,0,0,1,0,113.62,86.0307555556
Orange,2014,0,0,0,0,0,1,0,43.17,33.7914444444
Orange,2014,0,1,0,0,0,1,0,70.11,40.7376555556
Orange,2014,1,0,0,0,0,0,1,55.73,73.5034222222
Orange,2014,1,1,0,0,0,0,1,142.02,138.754133333
Orange,2014,0,0,0,0,0,0,1,48.97,47.7029444444
Orange,2014,0,1,0,0,0,0,1,55.46,65.8746666667
Orange,2014,1,0,1,0,0,0,0,49.87,43.2198111111
Orange,2014,1,1,1,0,0,0,0,94.29,86.0307555556
Orange,2014,0,0,1,0,0,0,0,34.74,33.7914444444
Orange,2014,0,1,1,0,0,0,0,50.57,40.7376555556
Placer,2014,0,1,0,1,0,0,0,441.01,277.850166667
Placer,2014,1,1,0,0,0,1,0,69.51,71.7641888889
Placer,2014,0,0,0,0,0,1,0,20.95,41.1235888889
Placer,2014,0,1,0,0,0,1,0,25.06,40.1084444444
Placer,2014,1,0,1,0,0,0,0,26.61,31.9463111111
Placer,2014,1,1,1,0,0,0,0,70.02,71.7641888889
Placer,2014,0,0,1,0,0,0,0,45.59,41.1235888889
Placer,2014,0,1,1,0,0,0,0,40.61,40.1084444444
Riverside,2014,1,0,0,1,0,0,0,173.03,202.200755556
Riverside,2014,1,1,0,1,0,0,0,361.73,366.364311111
Riverside,2014,0,0,0,1,0,0,0,172.71,158.110388889
Riverside,2014,0,1,0,1,0,0,0,239.93,237.752433333
Riverside,2014,1,1,0,0,1,0,0,33.0,83.28
Riverside,2014,0,0,0,0,1,0,0,13.67,42.0177777778
Riverside,2014,0,1,0,0,1,0,0,27.11,57.4130111111
Riverside,2014,1,0,0,0,0,1,0,40.58,43.0358333333
Riverside,2014,1,1,0,0,0,1,0,75.59,83.28
Riverside,2014,0,0,0,0,0,1,0,40.13,42.0177777778
Riverside,2014,0,1,0,0,0,1,0,69.56,57.4130111111
Riverside,2014,1,0,0,0,0,0,1,41.47,69.3719444444
Riverside,2014,1,1,0,0,0,0,1,122.02,205.604111111
Riverside,2014,0,0,0,0,0,0,1,53.62,78.6119444444
Riverside,2014,0,1,0,0,0,0,1,71.5,80.4156412698
Riverside,2014,1,0,1,0,0,0,0,41.79,43.0358333333
Riverside,2014,1,1,1,0,0,0,0,101.78,83.28
Riverside,2014,0,0,1,0,0,0,0,46.44,42.0177777778
Riverside,2014,0,1,1,0,0,0,0,60.99,57.4130111111
Sacramento,2014,1,0,0,1,0,0,0,258.16,242.205142857
Sacramento,2014,1,1,0,1,0,0,0,486.92,462.582055556
Sacramento,2014,0,0,0,1,0,0,0,220.87,195.258288889
Sacramento,2014,0,1,0,1,0,0,0,308.85,268.9266
Sacramento,2014,1,0,0,0,1,0,0,25.14,52.5050222222
Sacramento,2014,1,1,0,0,1,0,0,80.86,112.278871717
Sacramento,2014,0,0,0,0,1,0,0,14.59,40.7493111111
Sacramento,2014,0,1,0,0,1,0,0,51.61,63.7607555556
Sacramento,2014,1,0,0,0,0,1,0,73.93,52.5050222222
Sacramento,2014,1,1,0,0,0,1,0,143.0,112.278871717
Sacramento,2014,0,0,0,0,0,1,0,49.17,40.7493111111
Sacramento,2014,0,1,0,0,0,1,0,85.09,63.7607555556
Sacramento,2014,1,0,0,0,0,0,1,61.62,80.4148888889
Sacramento,2014,1,1,0,0,0,0,1,109.08,141.668966667
Sacramento,2014,0,0,0,0,0,0,1,59.27,59.5150555556
Sacramento,2014,0,1,0,0,0,0,1,71.54,93.5735
Sacramento,2014,1,0,1,0,0,0,0,47.73,52.5050222222
Sacramento,2014,1,1,1,0,0,0,0,119.61,112.278871717
Sacramento,2014,0,0,1,0,0,0,0,52.29,40.7493111111
Sacramento,2014,0,1,1,0,0,0,0,57.71,63.7607555556
San Benito,2014,0,0,0,0,0,1,0,59.47,67.3671666667
San Benito,2014,0,1,0,0,0,1,0,109.29,96.1790555556
San Bernardino,2014,1,0,0,1,0,0,0,244.66,247.691688889
San Bernardino,2014,1,1,0,1,0,0,0,478.31,511.064622222
San Bernardino,2014,0,0,0,1,0,0,0,208.88,197.301311111
San Bernardino,2014,0,1,0,1,0,0,0,307.05,285.917488889
San Bernardino,2014,1,1,0,0,1,0,0,44.61,66.5352063492
San Bernardino,2014,0,1,0,0,1,0,0,31.84,78.3865555556
San Bernardino,2014,1,0,0,0,0,1,0,49.05,61.3658412698
San Bernardino,2014,1,1,0,0,0,1,0,108.46,66.5352063492
San Bernardino,2014,0,0,0,0,0,1,0,49.16,49.8676111111
San Bernardino,2014,0,1,0,0,0,1,0,82.26,78.3865555556
San Bernardino,2014,1,0,0,0,0,0,1,119.52,116.849444444
San Bernardino,2014,1,1,0,0,0,0,1,212.97,244.186888889
San Bernardino,2014,0,0,0,0,0,0,1,108.44,113.357222222
San Bernardino,2014,0,1,0,0,0,0,1,169.71,152.899333333
San Bernardino,2014,1,0,1,0,0,0,0,66.91,61.3658412698
San Bernardino,2014,1,1,1,0,0,0,0,126.26,66.5352063492
San Bernardino,2014,0,0,1,0,0,0,0,58.2,49.8676111111
San Bernardino,2014,0,1,1,0,0,0,0,79.99,78.3865555556
San Diego,2014,1,0,0,1,0,0,0,205.33,205.712166667
San Diego,2014,1,1,0,1,0,0,0,352.5,350.603222222
San Diego,2014,0,0,0,1,0,0,0,111.54,112.743433333
San Diego,2014,0,1,0,1,0,0,0,177.97,174.559766667
San Diego,2014,1,0,0,0,1,0,0,47.74,52.9412333333
San Diego,2014,1,1,0,0,1,0,0,86.64,100.524111111
San Diego,2014,0,0,0,0,1,0,0,15.2,19.5538333333
San Diego,2014,0,1,0,0,1,0,0,30.78,48.3616111111
San Diego,2014,1,0,0,0,0,1,0,67.91,52.9412333333
San Diego,2014,1,1,0,0,0,1,0,133.56,100.524111111
San Diego,2014,0,0,0,0,0,1,0,45.64,19.5538333333
San Diego,2014,0,1,0,0,0,1,0,69.76,48.3616111111
San Diego,2014,1,0,0,0,0,0,1,98.29,102.753111111
San Diego,2014,1,1,0,0,0,0,1,184.99,184.368044444
San Diego,2014,0,0,0,0,0,0,1,62.59,56.2145111111
San Diego,2014,0,1,0,0,0,0,1,73.15,77.85
San Diego,2014,1,0,1,0,0,0,0,36.59,52.9412333333
San Diego,2014,1,1,1,0,0,0,0,71.56,100.524111111
San Diego,2014,0,0,1,0,0,0,0,25.17,19.5538333333
San Diego,2014,0,1,1,0,0,0,0,35.13,48.3616111111
San Francisco,2014,1,0,0,1,0,0,0,314.59,247.531901587
San Francisco,2014,1,1,0,1,0,0,0,511.21,523.3204
San Francisco,2014,0,0,0,1,0,0,0,186.43,141.789644444
San Francisco,2014,0,1,0,1,0,0,0,242.34,198.489444444
San Francisco,2014,1,0,0,0,1,0,0,29.63,51.403
San Francisco,2014,1,1,0,0,1,0,0,68.45,77.0067333333
San Francisco,2014,0,0,0,0,1,0,0,35.69,31.2563333333
San Francisco,2014,0,1,0,0,1,0,0,38.55,58.6464444444
San Francisco,2014,1,0,0,0,0,1,0,70.6,51.403
San Francisco,2014,1,1,0,0,0,1,0,137.92,77.0067333333
San Francisco,2014,0,0,0,0,0,1,0,72.1,31.2563333333
San Francisco,2014,0,1,0,0,0,1,0,98.68,58.6464444444
San Francisco,2014,1,0,0,0,0,0,1,63.39,72.8582222222
San Francisco,2014,1,1,0,0,0,0,1,181.56,217.669984127
San Francisco,2014,0,0,0,0,0,0,1,67.19,86.7852222222
San Francisco,2014,0,1,0,0,0,0,1,97.43,103.810111111
San Francisco,2014,1,0,1,0,0,0,0,51.29,51.403
San Francisco,2014,1,1,1,0,0,0,0,45.48,77.0067333333
San Francisco,2014,0,0,1,0,0,0,0,26.85,31.2563333333
San Francisco,2014,0,1,1,0,0,0,0,32.33,58.6464444444
San Joaquin,2014,1,0,0,1,0,0,0,308.64,262.207
San Joaquin,2014,1,1,0,1,0,0,0,505.0,499.085466667
San Joaquin,2014,0,0,0,1,0,0,0,195.8,198.493822222
San Joaquin,2014,0,1,0,1,0,0,0,342.33,276.250933333
San Joaquin,2014,1,1,0,0,1,0,0,81.78,127.9235
San Joaquin,2014,0,0,0,0,1,0,0,26.37,42.2815333333
San Joaquin,2014,0,1,0,0,1,0,0,33.41,79.0773333333
San Joaquin,2014,1,0,0,0,0,1,0,62.46,68.1724444444
San Joaquin,2014,1,1,0,0,0,1,0,136.69,127.9235
San Joaquin,2014,0,0,0,0,0,1,0,51.7,42.2815333333
San Joaquin,2014,0,1,0,0,0,1,0,93.14,79.0773333333
San Joaquin,2014,1,0,0,0,0,0,1,114.56,118.078977778
San Joaquin,2014,1,1,0,0,0,0,1,145.75,150.499777778
San Joaquin,2014,0,0,0,0,0,0,1,72.66,79.5881555556
San Joaquin,2014,0,1,0,0,0,0,1,125.97,116.146666667
San Joaquin,2014,1,0,1,0,0,0,0,80.57,68.1724444444
San Joaquin,2014,1,1,1,0,0,0,0,114.4,127.9235
San Joaquin,2014,0,0,1,0,0,0,0,54.2,42.2815333333
San Joaquin,2014,0,1,1,0,0,0,0,66.8,79.0773333333
San Luis Obispo,2014,1,0,0,0,0,1,0,68.38,67.3147222222
San Luis Obispo,2014,1,1,0,0,0,1,0,51.59,68.2585111111
San Luis Obispo,2014,0,0,0,0,0,1,0,49.07,43.2578888889
San Luis Obispo,2014,0,1,0,0,0,1,0,52.64,52.3938333333
San Luis Obispo,2014,1,1,1,0,0,0,0,110.39,68.2585111111
San Luis Obispo,2014,0,0,1,0,0,0,0,34.76,43.2578888889
San Luis Obispo,2014,0,1,1,0,0,0,0,54.37,52.3938333333
San Mateo,2014,0,1,0,1,0,0,0,91.27,109.890388889
San Mateo,2014,1,0,0,0,1,0,0,40.89,47.2893333333
San Mateo,2014,1,1,0,0,1,0,0,43.04,55.9838333333
San Mateo,2014,0,0,0,0,1,0,0,24.88,36.8113555556
San Mateo,2014,0,1,0,0,1,0,0,23.11,55.9528190476
San Mateo,2014,1,0,0,0,0,1,0,81.37,47.2893333333
San Mateo,2014,1,1,0,0,0,1,0,140.62,55.9838333333
San Mateo,2014,0,0,0,0,0,1,0,45.9,36.8113555556
San Mateo,2014,0,1,0,0,0,1,0,64.42,55.9528190476
San Mateo,2014,1,0,0,0,0,0,1,108.4,113.559077778
San Mateo,2014,1,1,0,0,0,0,1,162.19,176.205
San Mateo,2014,0,0,0,0,0,0,1,71.14,78.2767777778
San Mateo,2014,0,1,0,0,0,0,1,94.33,93.8130222222
San Mateo,2014,1,0,1,0,0,0,0,25.24,47.2893333333
San Mateo,2014,1,1,1,0,0,0,0,58.33,55.9838333333
San Mateo,2014,0,0,1,0,0,0,0,28.07,36.8113555556
San Mateo,2014,0,1,1,0,0,0,0,37.57,55.9528190476
Santa Barbara,2014,1,0,0,0,0,1,0,51.08,55.2448666667
Santa Barbara,2014,1,1,0,0,0,1,0,103.25,97.1916333333
Santa Barbara,2014,0,0,0,0,0,1,0,57.51,53.6337666667
Santa Barbara,2014,0,1,0,0,0,1,0,86.92,72.3602222222
Santa Barbara,2014,1,0,1,0,0,0,0,57.75,55.2448666667
Santa Barbara,2014,1,1,1,0,0,0,0,76.99,97.1916333333
Santa Barbara,2014,0,0,1,0,0,0,0,55.14,53.6337666667
Santa Barbara,2014,0,1,1,0,0,0,0,43.55,72.3602222222
Santa Clara,2014,1,0,0,1,0,0,0,88.11,114.744666667
Santa Clara,2014,1,1,0,1,0,0,0,117.48,156.448
Santa Clara,2014,0,0,0,1,0,0,0,115.63,113.423944444
Santa Clara,2014,0,1,0,1,0,0,0,133.95,140.072222222
Santa Clara,2014,1,0,0,0,1,0,0,31.0,42.3356444444
Santa Clara,2014,1,1,0,0,1,0,0,40.23,54.4062222222
Santa Clara,2014,0,0,0,0,1,0,0,9.13,30.9398333333
Santa Clara,2014,0,1,0,0,1,0,0,27.64,42.6444777778
Santa Clara,2014,1,0,0,0,0,1,0,52.19,42.3356444444
Santa Clara,2014,1,1,0,0,0,1,0,101.94,54.4062222222
Santa Clara,2014,0,0,0,0,0,1,0,37.07,30.9398333333
Santa Clara,2014,0,1,0,0,0,1,0,66.92,42.6444777778
Santa Clara,2014,1,0,0,0,0,0,1,40.98,80.5913333333
Santa Clara,2014,1,1,0,0,0,0,1,78.52,91.957
Santa Clara,2014,0,0,0,0,0,0,1,35.32,34.1848888889
Santa Clara,2014,0,1,0,0,0,0,1,36.87,59.6540444444
Santa Clara,2014,1,0,1,0,0,0,0,16.33,42.3356444444
Santa Clara,2014,1,1,1,0,0,0,0,52.43,54.4062222222
Santa Clara,2014,0,0,1,0,0,0,0,26.82,30.9398333333
Santa Clara,2014,0,1,1,0,0,0,0,26.89,42.6444777778
Santa Cruz,2014,1,0,0,0,0,1,0,106.08,113.327777778
Santa Cruz,2014,1,1,0,0,0,1,0,150.31,104.569777778
Santa Cruz,2014,0,0,0,0,0,1,0,62.22,49.4221555556
Santa Cruz,2014,0,1,0,0,0,1,0,99.77,72.3956666667
Santa Cruz,2014,1,1,1,0,0,0,0,89.17,104.569777778
Santa Cruz,2014,0,0,1,0,0,0,0,26.68,49.4221555556
Santa Cruz,2014,0,1,1,0,0,0,0,30.44,72.3956666667
Shasta,2014,0,1,0,0,0,1,0,53.24,86.3489
Shasta,2014,1,0,1,0,0,0,0,76.69,70.6222222222
Shasta,2014,1,1,1,0,0,0,0,124.53,161.169484127
Shasta,2014,0,0,1,0,0,0,0,72.16,65.8035833333
Shasta,2014,0,1,1,0,0,0,0,90.26,86.3489
Siskiyou,2014,0,1,1,0,0,0,0,68.43,69.0968111111
Solano,2014,1,0,0,1,0,0,0,315.22,313.439311111
Solano,2014,1,1,0,1,0,0,0,566.65,390.690444444
Solano,2014,0,0,0,1,0,0,0,300.47,201.981888889
Solano,2014,0,1,0,1,0,0,0,381.25,321.010922222
Solano,2014,1,1,0,0,1,0,0,137.54,128.217688889
Solano,2014,0,0,0,0,1,0,0,48.75,52.2536666667
Solano,2014,0,1,0,0,1,0,0,40.42,81.6250015873
Solano,2014,1,0,0,0,0,1,0,71.75,59.6943666667
Solano,2014,1,1,0,0,0,1,0,132.94,128.217688889
Solano,2014,0,0,0,0,0,1,0,55.09,52.2536666667
Solano,2014,0,1,0,0,0,1,0,95.01,81.6250015873
Solano,2014,1,1,0,0,0,0,1,138.52,133.484444444
Solano,2014,0,0,0,0,0,0,1,57.83,57.7965111111
Solano,2014,0,1,0,0,0,0,1,54.17,65.4934
Solano,2014,1,0,1,0,0,0,0,59.99,59.6943666667
Solano,2014,1,1,1,0,0,0,0,115.2,128.217688889
Solano,2014,0,0,1,0,0,0,0,57.62,52.2536666667
Solano,2014,0,1,1,0,0,0,0,111.45,81.6250015873
Sonoma,2014,0,1,0,1,0,0,0,310.18,294.122966667
Sonoma,2014,1,0,0,0,0,1,0,45.18,44.6642777778
Sonoma,2014,1,1,0,0,0,1,0,106.03,110.4232
Sonoma,2014,0,0,0,0,0,1,0,40.38,38.2748777778
Sonoma,2014,0,1,0,0,0,1,0,63.22,49.9779111111
Sonoma,2014,1,0,1,0,0,0,0,34.81,44.6642777778
