County,Year,Number,Rate (per 10k)
Santa Clara,2005,16.0,147.47
Santa Clara,2005,30.0,266.43
Santa Clara,2005,26.0,70.21
Santa Clara,2005,39.0,99.56
Santa Clara,2005,51.0,27.48
Santa Clara,2005,128.0,65.25
Santa Clara,2005,36.0,9.07
Santa Clara,2005,83.0,19.5
Santa Clara,2005,137.0,62.95
Santa Clara,2005,273.0,118.93
Santa Clara,2005,157.0,30.82
Santa Clara,2005,253.0,47.15
Santa Clara,2005,37.0,93.15
Santa Clara,2005,77.0,185.86
Santa Clara,2005,66.0,103.03
Santa Clara,2005,116.0,165.22
Santa Clara,2005,54.0,34.48
Santa Clara,2005,129.0,79.22
Santa Clara,2005,81.0,18.47
Santa Clara,2005,127.0,27.45
Santa Clara,2006,21.0,196.26
Santa Clara,2006,26.0,229.89
Santa Clara,2006,28.0,74.68
Santa Clara,2006,41.0,114.21
Santa Clara,2006,46.0,24.58
Santa Clara,2006,120.0,61.15
Santa Clara,2006,44.0,10.75
Santa Clara,2006,87.0,20.05
Santa Clara,2006,131.0,59.99
Santa Clara,2006,301.0,131.06
Santa Clara,2006,154.0,30.1
Santa Clara,2006,256.0,47.18
Santa Clara,2006,31.0,78.03
Santa Clara,2006,55.0,131.99
Santa Clara,2006,61.0,88.72
Santa Clara,2006,59.0,79.04
Santa Clara,2006,38.0,24.9
Santa Clara,2006,108.0,67.78
Santa Clara,2006,78.0,18.11
Santa Clara,2006,108.0,23.55
Santa Clara,2007,16.0,146.65
Santa Clara,2007,31.0,270.98
Santa Clara,2007,29.0,83.21
Santa Clara,2007,45.0,126.96
Santa Clara,2007,54.0,28.31
Santa Clara,2007,98.0,49.15
Santa Clara,2007,57.0,13.49
Santa Clara,2007,95.0,21.32
Santa Clara,2007,137.0,61.71
Santa Clara,2007,313.0,134.54
Santa Clara,2007,180.0,34.33
Santa Clara,2007,282.0,50.97
Santa Clara,2007,20.0,49.54
Santa Clara,2007,44.0,105.24
Santa Clara,2007,42.0,54.25
Santa Clara,2007,50.0,33.42
Santa Clara,2007,127.0,81.25
Santa Clara,2007,90.0,21.42
Santa Clara,2007,93.0,21.01
Santa Clara,2008,13.0,116.59
Santa Clara,2008,37.0,314.89
Santa Clara,2008,23.0,67.55
Santa Clara,2008,36.0,99.95
Santa Clara,2008,47.0,24.01
Santa Clara,2008,110.0,53.47
Santa Clara,2008,41.0,9.33
Santa Clara,2008,73.0,15.97
Santa Clara,2008,117.0,51.28
Santa Clara,2008,321.0,135.26
Santa Clara,2008,201.0,37.66
Santa Clara,2008,342.0,60.95
Santa Clara,2008,24.0,58.71
Santa Clara,2008,49.0,116.67
Santa Clara,2008,21.0,29.62
Santa Clara,2008,39.0,48.32
Santa Clara,2008,44.0,30.11
Santa Clara,2008,93.0,60.78
Santa Clara,2008,86.0,21.02
Santa Clara,2008,112.0,25.56
Santa Clara,2009,20.0,173.76
Santa Clara,2009,34.0,280.76
Santa Clara,2009,28.0,84.75
Santa Clara,2009,52.0,163.73
Santa Clara,2009,59.0,30.18
Santa Clara,2009,115.0,55.84
Santa Clara,2009,44.0,9.7
Santa Clara,2009,97.0,20.19
Santa Clara,2009,135.0,58.26
Santa Clara,2009,290.0,120.5
Santa Clara,2009,213.0,39.53
Santa Clara,2009,403.0,71.49
Santa Clara,2009,21.0,51.34
Santa Clara,2009,53.0,124.53
Santa Clara,2009,26.0,31.77
Santa Clara,2009,47.0,53.94
Santa Clara,2009,57.0,42.09
Santa Clara,2009,97.0,67.68
Santa Clara,2009,93.0,23.35
Santa Clara,2009,105.0,25.46
Santa Clara,2010,16.0,141.34
Santa Clara,2010,38.0,314.05
Santa Clara,2010,30.0,98.25
Santa Clara,2010,48.0,151.22
Santa Clara,2010,42.0,21.51
Santa Clara,2010,113.0,55.29
Santa Clara,2010,49.0,10.73
Santa Clara,2010,91.0,18.7
Santa Clara,2010,163.0,70.63
Santa Clara,2010,330.0,137.19
Santa Clara,2010,204.0,37.59
Santa Clara,2010,356.0,62.56
Santa Clara,2010,26.0,64.98
Santa Clara,2010,68.0,162.1
Santa Clara,2010,28.0,33.53
Santa Clara,2010,46.0,52.42
Santa Clara,2010,63.0,48.23
Santa Clara,2010,95.0,69.05
Santa Clara,2010,81.0,21.03
Santa Clara,2010,136.0,34.23
Santa Clara,2011,29.0,211.68
Santa Clara,2011,40.0,125.67
Santa Clara,2011,60.0,183.04
Santa Clara,2011,46.0,24.44
Santa Clara,2011,96.0,47.7
Santa Clara,2011,53.0,11.14
Santa Clara,2011,113.0,22.48
Santa Clara,2011,125.0,55.6
Santa Clara,2011,275.0,115.56
Santa Clara,2011,224.0,40.34
Santa Clara,2011,392.0,67.03
Santa Clara,2011,16.0,40.87
Santa Clara,2011,35.0,84.64
Santa Clara,2011,18.0,20.58
Santa Clara,2011,54.0,59.17
Santa Clara,2011,43.0,32.77
Santa Clara,2011,90.0,64.64
Santa Clara,2011,70.0,18.69
Santa Clara,2011,105.0,26.7
Santa Clara,2012,23.0,164.64
Santa Clara,2012,43.0,132.3
Santa Clara,2012,49.0,144.56
Santa Clara,2012,36.0,19.23
Santa Clara,2012,83.0,40.72
Santa Clara,2012,61.0,12.51
Santa Clara,2012,99.0,19.15
Santa Clara,2012,117.0,52.8
Santa Clara,2012,256.0,107.85
Santa Clara,2012,218.0,38.63
Santa Clara,2012,417.0,70.09
Santa Clara,2012,22.0,56.14
Santa Clara,2012,38.0,91.0
Santa Clara,2012,24.0,26.29
Santa Clara,2012,53.0,54.44
Santa Clara,2012,38.0,28.83
Santa Clara,2012,97.0,68.53
Santa Clara,2012,91.0,24.69
Santa Clara,2012,117.0,30.32
Santa Clara,2013,21.0,150.0
Santa Clara,2013,45.0,137.37
Santa Clara,2013,44.0,129.13
Santa Clara,2013,37.0,19.98
Santa Clara,2013,85.0,41.29
Santa Clara,2013,59.0,12.03
Santa Clara,2013,110.0,20.75
Santa Clara,2013,95.0,43.41
Santa Clara,2013,252.0,106.3
Santa Clara,2013,223.0,38.77
Santa Clara,2013,375.0,61.92
Santa Clara,2013,20.0,51.02
Santa Clara,2013,44.0,105.26
Santa Clara,2013,29.0,30.73
Santa Clara,2013,44.0,44.21
Santa Clara,2013,37.0,27.81
Santa Clara,2013,64.0,44.27
Santa Clara,2013,90.0,24.77
Santa Clara,2013,121.0,31.78
Santa Clara,2014,12.0,88.11
Santa Clara,2014,17.0,117.48
Santa Clara,2014,39.0,115.63
Santa Clara,2014,47.0,133.95
Santa Clara,2014,57.0,31.0
Santa Clara,2014,84.0,40.23
Santa Clara,2014,46.0,9.13
Santa Clara,2014,147.0,27.64
Santa Clara,2014,114.0,52.19
Santa Clara,2014,243.0,101.94
Santa Clara,2014,215.0,37.07
Santa Clara,2014,409.0,66.92
Santa Clara,2014,16.0,40.98
Santa Clara,2014,33.0,78.52
Santa Clara,2014,34.0,35.32
Santa Clara,2014,39.0,36.87
Santa Clara,2014,22.0,16.33
Santa Clara,2014,78.0,52.43
Santa Clara,2014,96.0,26.82
Santa Clara,2014,99.0,26.89
Santa Cruz,2005,20.0,21.96
Santa Cruz,2005,33.0,919.22
Santa Cruz,2005,55.0,1410.26
Santa Cruz,2005,26.0,324.16
Santa Cruz,2005,42.0,499.01
Santa Cruz,2005,31.0,89.65
Santa Cruz,2005,32.0,33.37
Santa Cruz,2005,38.0,37.98
Santa Cruz,2006,20.0,49.36
Santa Cruz,2006,19.0,21.17
Santa Cruz,2006,34.0,928.96
