STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USS0020L10S,Fallen Leaf,2015,3,64,,5,18,,2.50,81,6541,25.78,,45.9,58.7,33.2
USC00042706,EL CAJON,2015,1829,,,32,,,0.71,105,726,7.76,,67.4,79.4,55.4
USR0000CCRA,CRANE FLAT LOOKOUT CALIFORNIA,2015,421,,,13,,,,86,4337,,,52.9,60.6,45.2
USS0020K25S,Ward Creek NUMBER 3,2015,5,145,,6,56,,4.10,84,6630,50.48,,45.8,59.0,32.5
USR0000CROU,ROUND MOUNTAIN,2015,613,,,10,,,,97,5098,,,51.9,61.9,42.0
USC00042709,EL CAPITAN DAM,2015,2443,,,32,,,1.45,107,559,14.78,,69.8,83.6,56.1
USR0000CCRE,CRESTVIEW CALIFORNIA,2015,16,,,-11,,,,90,,,,44.7,62.3,27.2
USR0000CROS,ROSE VALLEY CALIFORNIA,2015,387,,,10,,,,98,3577,,,55.4,74.2,36.5
USR0000CCRZ,CRAZY PEAK CALIFORNIA,2015,485,,,22,,,,98,4214,,,53.9,63.4,44.3
USC00040521,BARSTOW,2015,2754,0,0,22,0,0.0,1.10,110,1773,5.78,0.0,66.8,80.3,53.3
USC00042941,FAIRMONT,2015,,0,,,0,,1.83,,,8.02,,,,
US1CASF0008,SAN FRANCISCO 3.0 W,2015,,,,,,,1.23,,,11.56,,,,
USR0000CANZ,ANZA CALIFORNIA,2015,943,,,18,,,,100,2916,,,58.7,72.4,45.1
USC00041614,CEDARVILLE,2015,,29,12,,6,5.0,0.95,,,11.96,31.1,,,
US1CASF0004,SAN FRANCISCO 1.1 SW,2015,,,,,,,1.53,,,10.84,,,,
USR0000CCRR,CARPENTER RIDGE CALIFORNIA,2015,875,,,18,,,,95,3949,,,55.8,64.2,47.4
USR0000CCRT,CRANSTON CALIFORNIA,2015,2124,,,31,,,,107,1172,,,67.2,80.8,53.5
US1CANV0034,GRASS VALLEY 4.2 SE,2015,,,,,,,4.88,,,31.64,,,,
US1CANV0035,GRASS VALLEY 1.3 NNE,2015,,,,,,,3.24,,,26.52,,,,
USC00049351,VINTON,2015,,43,10,,8,8.0,1.00,,,14.36,40.3,,,
US1CANV0036,GRASS VALLEY 2.7 SW,2015,,,,,,,3.68,,,27.70,,,,
USC00049111,TWITCHELL DAM,2015,,,,,,,1.25,100,,8.71,,,72.2,
USR0000CNFO,NORTH FORK CALIFORNIA,2015,1677,,,23,,,,105,2377,,,62.1,76.0,48.3
USC00041864,COALINGA,2015,2662,,,26,,,1.67,111,1451,6.35,,67.6,82.0,53.2
USC00043800,HARRY ENGLEBRIGHT DM,2015,,0,0,,0,0.0,1.53,,,18.15,0.0,,,
USC00042713,EL CENTRO 2 SSW,2015,,,,,,,,,548,,,,,
USC00048014,SAUGUS POWER PLANT 1,2015,,0,,,0,,0.97,,,9.46,,,,
USS0019L39S,Spratt Creek,2015,110,80,,4,21,,2.10,89,5481,26.36,,49.2,62.2,36.1
USC00049102,TWENTYNINE PALMS 12 E WONDER VALLEY,2015,3975,0,0,17,0,0.0,0.63,114,1141,2.55,0.0,72.1,86.0,58.2
USR0000CROD,RODEO VALLEY,2015,932,,,26,,,,102,3008,,,58.6,70.8,46.4
USR0000CROC,ROCK CREEK,2015,215,,,4,,,,93,5510,,,49.5,64.7,34.4
USR0000CLAP,LA PANZA CALIFORNIA,2015,1221,,,19,,,,105,2503,,,60.4,77.7,43.2
USR0000CALD,ALDER SPRINGS CALIFORNIA,2015,1015,,,22,,,,96,3394,,,57.9,66.3,49.5
USR0000CLAU,LAUFMAN CALIFORNIA,2015,669,,,8,,,,101,,,,52.9,66.5,39.3
USC00048273,SKYLINE RIDGE,2015,663,,,29,,,3.56,98,2653,24.67,,58.5,68.0,49.0
USR0000CLAS,LASSEN LODGE CALIFORNIA,2015,1207,,,21,,,,100,3162,,,58.9,69.0,48.8
USS0019L13S,Virginia Lakes Ridge,2015,0,194,,1,34,,1.40,76,7565,23.76,,42.7,51.7,33.7
USW00094299,ALTURAS MUNICIPAL AIRPORT,2015,317,,,-15,,,0.68,101,5293,13.19,,49.9,66.8,33.1
USR0000CLAR,LAURAL MOUNTAIN CALIFORNIA,2015,2033,,,25,,,,102,2156,,,63.7,72.9,54.5
USC00041879,COARSEGOLD 4 SE,2015,,,,,,,2.80,,,16.22,,,,
USS0020K27S,Tahoe City Cross,2015,46,69,,11,22,,2.30,83,5974,29.47,,47.8,58.5,37.1
USR0000CLAH,LA HONDA CALIFORNIA,2015,340,,,28,,,,98,2309,,,58.9,70.7,47.0
USR0000CPIL,PILOT HILL CALIFORNIA,2015,1302,,,25,,,,104,2398,,,61.3,74.8,47.7
USR0000CLAG,MOUNT LAGUNA CALIFORNIA,2015,376,,,4,,,,93,4299,,,53.4,66.2,40.7
USR0000CPIK,PIKE CO LOOKOUT CALIFORNIA,2015,1151,,,25,,,,95,2740,,,59.7,67.8,51.6
USS0020K03S,Independence Creek,2015,15,93,,-1,25,,1.70,86,6826,21.95,,44.9,59.1,30.6
US1CANV0041,NEVADA CITY 1.7 SSE,2015,,,,,,,3.73,,,33.02,,,,
USR0000CTRI,TRINITY CAMP CALIFORNIA,2015,983,,,20,,,,100,3726,,,56.7,67.5,46.0
USR0000CALT,LOS ALTOS CALIFORNIA,2015,773,,,30,,,,102,,,,61.9,74.1,49.8
USC00042964,FALL RIVER MILLS,2015,,0,0,,0,0.0,1.71,,,15.93,0.0,,,
USR0000CTRM,TRIMMER CALIFORNIA,2015,2114,,,27,,,,108,1965,,,64.4,77.2,51.7
USR0000CLAY,LAYTONVILLE CALIFORNIA,2015,850,,,21,,,,105,2843,,,58.8,73.9,43.6
USC00048025,SAWYERS BAR RANGER STATION,2015,,,,,,,2.17,,,33.87,,,,
USR0000CTRA,LAS TRAMPAS CALIFORNIA,2015,853,,,31,,,,103,2347,,,60.0,68.6,51.4
USS0019L38S,Leavitt Lake,2015,0,209,,0,90,,3.30,72,8045,42.85,,41.6,48.9,34.2
USR0000CALP,ALPINE CALIFORNIA,2015,1591,,,27,,,,101,1577,,,64.5,74.9,54.1
USW00053139,STOVEPIPE WELLS 1 SW,2015,5884,,,27,,,0.24,122,758,1.67,,78.3,90.2,66.4
USC00046657,PALOMAR MOUNTAIN OBSVTRY,2015,940,,,18,,,2.05,92,3141,16.74,,58.0,66.7,49.4
USR0000CFEN,FENCE MEADOW CALIFORNIA,2015,1248,,,19,,,,97,3172,,,58.8,67.5,50.1
