STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00044838,LAVA BEDS NATIONAL MONUM,41.7019,-121.5011,1453.9,2007,,,,,,,,,6000,,,,,
USC00042410,DESERT CENTER 2 NNE,33.7377,-115.3925,227.7,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00044710,LAKESIDE 2 E,32.8536,-116.8947,210.3,2007,,0,0,,0,0.0,1.77,,,11.19,0.0,,,
USR0000CBIR,BIG ROCK CALIFORNIA,38.0394,-122.57,457.2,2007,448,,,33,,,,104,2925,,,58.1,67.3,48.9
USR0000CRIC,RICE VALLEY CALIFORNIA,34.0608,-114.7322,249.9,2007,4456,,,19,,,,121,1251,,,73.6,88.6,58.6
USC00044712,LAKE SOLANO,38.492,-122.0039,57.0,2007,1559,0,0,21,0,0.0,1.69,110,2218,13.42,0.0,63.2,77.3,49.1
USR0000CBIP,BIG PINES CALIFORNIA,34.3789,-117.6919,2108.3,2007,737,,,4,,,,96,4417,,,54.4,66.5,42.2
USC00045802,MONTEREY NWSFO,36.5927,-121.8555,37.2,2007,16,0,0,26,0,0.0,0.69,85,3573,9.11,0.0,55.2,62.4,47.9
USC00043747,HANFORD 1 S,36.3158,-119.637,72.2,2007,1591,0,0,16,0,0.0,0.51,109,2848,4.44,0.0,61.5,75.0,48.1
USC00044957,LINDSAY,36.2032,-119.0545,132.6,2007,1813,0,0,21,0,0.0,0.95,114,2275,8.29,0.0,63.7,79.5,47.9
USR0000CGSP,GREEN SPRING CALIFORNIA,37.8331,-120.5,310.9,2007,1576,,,23,,,,109,,,,62.1,75.0,49.3
USR0000CBIH,BIG HILL CALIFORNIA,41.0975,-123.6358,1088.1,2007,345,,,18,,,,93,5082,,,51.2,60.6,41.8
USW00093104,CHINA LAKE NAF,35.6875,-117.6931,679.7,2007,,0,0,,0,0.0,,,,,0.0,,,
USW00093225,SACRAMENTO METROPOLITAN AIRPORT,38.69556,-121.58972,7.0,2007,1262,,,21,,,1.29,107,2601,10.50,,61.3,75.3,47.3
USW00093227,NAPA CO AIRPORT,38.2102,-122.2847,4.3,2007,312,,,18,,,0.77,99,3315,9.68,,56.7,70.5,42.9
USW00093228,HAYWARD AIR TERMINAL,37.6542,-122.115,13.1,2007,222,,,28,,,1.13,89,2663,11.38,,58.2,66.7,49.7
USC00042771,EL MIRAGE,34.5891,-117.6302,899.2,2007,,0,0,,0,0.0,1.19,,,2.47,0.0,,,
USC00040232,ANTIOCH PUMP PLANT 3,37.9833,-121.7525,18.3,2007,,0,0,,0,0.0,,106,2254,,0.0,,74.0,
USR0000CHUR,HURLEY CALIFORNIA,37.0153,-119.5678,366.1,2007,1299,,,16,,,,111,3257,,,59.4,76.3,42.5
USC00049185,UPPER SAN LEANDRO FILTERS,37.7719,-122.1675,120.1,2007,,0,0,,0,0.0,1.46,,,16.86,0.0,,,
USW00003104,DESERT RESORTS REGIONAL AIRPORT,33.62667,-116.15944,-36.0,2007,3887,0,,17,0,,0.79,117,1176,1.42,,72.2,89.0,55.4
USS0020H02S,Crowder Flat,41.89,-120.75,1575.8,2007,,94,,,12,,0.60,,,13.56,,,,
USR0000COAK,OAK KNOLL CALIFORNIA,41.8386,-122.85,591.3,2007,684,,,9,,,,108,4315,,,54.3,70.4,38.2
USR0000CSIV,SIMI VALLEY CALIFORNIA,34.2911,-118.8144,278.6,2007,879,,,30,,,,102,1642,,,62.4,72.3,52.6
USR0000CSIM,SIMS CALIFORNIA,41.075,-122.3733,731.5,2007,1337,,,21,,,,114,3464,,,58.5,72.0,44.9
USR0000CYUR,YUROK CALIFORNIA,41.2897,-123.8575,150.9,2007,,,,,,,,,3561,,,,,
USW00003102,ONTARIO INTERNATIONAL AIRPORT,34.05611,-117.60028,289.3,2007,1884,,,25,,,1.61,110,1275,6.58,,66.4,79.0,53.7
USC00045933,MOUNT HAMILTON,37.3436,-121.6425,1282.0,2007,619,9,6,18,4,5.0,0.97,92,4126,15.43,16.0,54.6,61.4,47.9
USR0000CUND,UNDERWOOD CALIFORNIA,40.7219,-123.4953,792.5,2007,,,,,,,,,4172,,,,,
USC00041697,CHERRY VALLEY DAM,37.9747,-119.9161,1452.4,2007,808,49,18,12,31,13.0,2.89,102,4373,27.65,76.5,55.0,67.4,42.7
USC00041214,BURNEY,40.8802,-121.6547,974.8,2007,,20,9,,13,8.0,1.12,103,5439,20.52,26.2,,65.2,
USC00043875,HEALDSBURG,38.6175,-122.873,32.9,2007,,0,0,21,0,0.0,3.11,,,31.67,0.0,,,46.3
USR0000CSHQ,SHADEQUARTER CALIFORNIA,36.5672,-118.9556,1240.2,2007,1262,,,13,,,,102,,,,58.3,67.6,49.1
USS0020K30S,Squaw Valley G.C.,39.19,-120.26,2447.2,2007,25,182,,-1,107,,3.30,81,7754,45.19,,43.3,50.2,36.4
