Station Name,COOP ID,Lat.,Lon.,Elev. (f)
BEALE AFB,040584,39.13333,-121.43333,125
BEAR VALLEY,040595,38.44056,-120.07611,6900
BEAUMONT,040606,33.92917,-116.975,2613
BEAUMONT #2,040609,33.92861,-116.98139,2591
BEAUMONT PUMP PLT,040607,33.98333,-116.96667,3051
BEEGUM,040615,40.35,-122.86667,1289
BEL AIR FC 10A,040619,34.08333,-118.45,541
BELL CANYON PLATT RA,040625,34.2,-118.65,922
BEN LOMOND #4,040673,37.08556,-122.07972,420
BEN LOMOND SPRR,040672,37.08333,-122.08333,300
BEN LOMOND WHITNEY,040675,37.08333,-122.1,1001
BENNETT RCH,040678,34.16667,-117.45,1850
BENSONS FERRY,040682,38.25,-121.43333,20
BENTON INSPECTION STN,040684,37.84278,-118.47833,5460
BERKELEY,040693,37.87444,-122.26056,310
BERRYESSA LAKE,040705,38.55,-122.23333,459
BETTERAVIA,040719,34.91667,-120.35,161
BETTS RCH,040721,41.81667,-122.5,2651
BIEBER,040731,41.12083,-121.13472,4125
BIG BAR 4 E,040738,40.74056,-123.20778,1253
BIG BEAR LAKE,040741,34.24417,-116.90389,6760
BIG BEAR LAKE DAM,040742,34.24139,-116.97444,6815
BIG BEN RS,040747,39.3,-120.51667,5745
BIG CREEK PH 1,040755,37.20639,-119.24194,4878
BIG DALTON DAM FC223,040758,34.16667,-117.81667,1591
BIG PINES PARK FC83B,040779,34.38333,-117.68333,6845
BIG SUR STN,040790,36.24722,-121.78028,200
BIG TUJUNGA DAM FC46,040798,34.28528,-118.19528,2076
BIRMINGHAM GEN HOSP,040818,34.18333,-118.5,722
BISHOP AP,040822,37.37111,-118.35806,4102
BISHOP CK INTAKE 2,040819,37.24806,-118.58139,8154
BISHOP CREEK,040820,37.23778,-118.59389,8490
BISHOP FS,040823,37.36833,-118.36472,4108
BISHOP UNION CARBIDE,040824,37.36667,-118.71667,9396
BLACK MTN 2 WSW,040850,37.31667,-122.16667,2120
BLACKS MTN RANC,040870,40.73333,-121.25,5604
BLACKWELLS CORNER,040875,35.61667,-119.9,712
BLUE CANYON AP,040897,39.2775,-120.71028,5276
BLUE LAKE REDWOOD CR,040903,40.91667,-123.81667,981
BLYTHE,040924,33.61306,-114.59722,268
BLYTHE AP,040927,33.61861,-114.71417,395
BOCA,040931,39.38861,-120.09361,5575
BODIE,040943,38.21194,-119.01417,8370
BONITA,040968,32.66667,-117.03333,112
BOONVILLE HMS,040973,39.01667,-123.36667,341
BORREGO DESERT PARK,040983,33.23139,-116.41444,805
BORREGO SPRINGS 3 NN,040986,33.28333,-116.35,630
BOULDER CREEK,041001,37.11667,-122.11667,470
BOULDER CREEK LOCAT,041005,37.14222,-122.19639,2175
BOULEVARD 2,041010,32.66667,-116.3,3600
BOUQUET CANYON,041013,34.58333,-118.36667,3061
BOWMAN,041017,38.93333,-121.05,1600
BOWMAN DAM,041018,39.45389,-120.65556,5385
BRADFORD RCH,041031,33.48333,-116.8,3353
BRADLEY,041034,35.86667,-120.8,541
BRANNAN ISLAND,041043,38.11667,-121.7,30
BRANSCOMB 3 NNW,041046,39.7,-123.65,1460
BRAWLEY,041048,32.95444,-115.55806,-100
BREA BERRY & IMPER,041054,33.91667,-117.9,351
BREA CITY SHAFFER TO,041056,33.93333,-117.9,381
BREA DAM,041057,33.89056,-117.92639,275
BRENTWOOD 6 SW,041060,37.88333,-121.76667,325
BRIDGEPORT,041072,38.2575,-119.22861,6470
BRIDGEPORT DAM,041075,38.31667,-119.21667,6424
BRIDGEPORT RS,041076,38.25056,-119.21611,6441
BRIDGEVILLE 4 NNW,041080,40.51944,-123.82167,2100
BRIDGEVILLE HANSON R,041082,40.55,-123.81667,2602
BROOKS,041109,38.73333,-122.15,351
BROOKS FARNHAM RCH,041112,38.76667,-122.15,294
BRUSH CREEK RS,041130,39.695,-121.34528,3560
BRYSON,041142,35.79889,-121.09389,925
BUCKHORN,041149,40.86694,-121.84639,3800
BUCKS CREEK,041159,39.93722,-121.31472,1891
BUCKS LAKE,041161,39.9,-121.2,5203
BUENA VISTA,041170,36.76667,-121.18333,1640
BULLARDS BAR PH,041180,39.41667,-121.15,1781
BULLION MTN FTHLLS,041185,34.20056,-115.87944,1446
BURBANK FIRE DEPT,041192,34.18333,-118.3,679
BURBANK GLENDALE PASADENA AP,041194,34.20056,-118.3575,741
BURBANK VALLEY PUMP,041194,34.18667,-118.34806,655
BURLINGAME,041206,37.58333,-122.35,10
BURNEY,041214,40.88028,-121.65472,3198
BURNT RCH 1 S,041215,40.8,-123.46667,2150
BURTON RCH,041216,37.86667,-122.08333,531
BUTLER VALLEY RCH,041233,40.76667,-123.9,420
BUTTONWILLOW,041244,35.40472,-119.47306,269
CABAZON,041250,33.91667,-116.78333,1801
CABRILLO NM,041252,32.66667,-117.23333,410
CACHUMA LAKE,041253,34.58222,-119.98167,795
CAJON RS,041268,34.31667,-117.48333,2904
CAJON WEST SUMMIT,041272,34.39,-117.5925,4780
CALAVERAS BIG TREES,041277,38.27694,-120.31139,4695
CALAVERAS RS,041280,38.2,-120.36667,3360
CALAVERAS RSVR,041281,37.48333,-121.81667,810
CALEXICO,041288,32.68806,-115.46444,12
CALIF HOT SPRINGS,041300,35.88333,-118.68333,2953
CALISTOGA,041312,38.59611,-122.60139,400
CALLAHAN,041316,41.31111,-122.80444,3185
CAMP ANGELUS,041369,34.14917,-116.98028,5770
CAMP LASSEN,041420,40.1,-121.53333,4304
CAMP PARDEE,041428,38.24861,-120.84333,658
CAMP SAN LUIS OBISPO,041444,35.33333,-120.68333,620
CAMP WISHON,041470,36.18333,-118.66667,3802
CAMPO,041424,32.62333,-116.47278,2630
CAMPTONVILLE RS,041462,39.45,-121.05,2755
CANBY,041476,41.42194,-120.90167,4310
CANBY 11SW,041475,41.36667,-121.05,4505
CANTIL,041488,35.3,-117.96667,2011
CANYON DAM,041497,40.17056,-121.08861,4560
CARBON CANYON WORKMA,041520,33.95806,-117.77917,1180
CARIBOU PH,041522,40.08333,-121.15,2992
CARMEL VALLEY,041534,36.48056,-121.72444,480
CASTLE ROCK,041582,37.63333,-121.48333,620
CASTLE ROCK RAD LAB,041583,37.63333,-121.5,561
CATHEYS VALLEY WYRE,041590,37.4,-120.11667,1001
CATHEYS VLY BULL RUN RCH,041588,37.4,-120.05,1430
CAZADERO,041602,38.53333,-123.13333,1060
CAZADERO 5 NW,041603,38.56417,-123.16167,1420
CECILVILLE,041606,41.14167,-123.13917,2310
CECILVILLE 5 SE,041606,41.1,-123.05,3002
CEDAR GROVE,041609,36.78333,-118.66667,4652
CEDAR POINT RCH,041611,37.46667,-119.73333,3232
CEDARVILLE,041614,41.53056,-120.18028,4695
CENTERVILLE PH,041624,39.78333,-121.66667,522
CENTRAL CAMP,041630,37.35,-119.48333,5364
CHALLENGE RS,041653,39.48333,-121.21667,2570
CHATSWORTH FC 24 F,041680,34.25,-118.6,950
CHATSWORTH HEYNEMANN,041679,34.26667,-118.6,1001
CHATSWORTH RSVR,041682,34.22639,-118.61694,910
CHERRY VALLEY DAM,041697,37.97472,-119.91611,4765
CHESTER,041700,40.30333,-121.24222,4530
CHICO UNIV FARM,041715,39.69111,-121.82111,185
CHINA FLAT,041731,40.86667,-123.58333,600
CHINA LAKE NAF,041733,35.6875,-117.69306,2230
CHIRIACO SUMMIT,041738,33.66167,-115.72056,1706
CHITTENDEN PASS,041739,36.90028,-121.59667,82
CHOLAME ALLEY RCH,041743,35.71667,-120.25,1752
CHUCHUPATE RS,041754,34.80778,-119.01139,5260
CHULA VISTA,041758,32.64,-117.08583,56
CISCO RS,041768,39.3,-120.51667,5745
CITRUS HEIGHTS,041773,38.7,-121.3,141
CLAREMONT POMONA COL,041779,34.1,-117.71667,1201
CLARKS VALLEY MUDD R,041785,39.55,-122.4,410
CLARKSBURG,041784,38.41667,-121.53333,10
CLEAR CREEK,041799,41.71667,-123.45,981
CLEAR LAKE DAM,041805,41.93333,-121.06667,4573
CLEARLAKE 4 SE,041806,38.92389,-122.56722,1349
CLEARLAKE PARK,041807,38.98333,-122.71667,1332
CLOVERDALE,041838,38.8,-123.0175,330
CLOVERDALE 11 W,041840,38.76667,-123.21667,1821
COALINGA,041864,36.13556,-120.36056,670
COALINGA 1 SE,041867,36.13333,-120.35,659
COALINGA 14 WNW,041869,36.23333,-120.56667,1640
COARSEGOLD 1 SW,041878,37.25028,-119.70528,2230
COBB 2 NW,041882,38.83333,-122.75,2402
COFFEE CREEK RS,041886,41.08944,-122.70861,2503
COHASSET,041890,39.91667,-121.73333,2523
COHASSET 1 NNE,041891,39.93333,-121.71667,3192
COLBYS FC 53D,041896,34.3,-118.11667,3681
COLD SPRINGS CHALET,041906,38.16667,-120.05,5745
COLEMAN FISHERIES,041907,40.4,-122.14333,420
COLEVILLE,041909,38.56667,-119.5,5105
COLEVILLE 4 SE,041911,38.51667,-119.46667,5305
COLFAX,041912,39.09111,-120.94806,2380
COLGATE P H,041916,39.33083,-121.19222,595
COLUSA 2 SSW,041948,39.1875,-122.02694,50
COLUSA BRG,041945,39.21667,-122,59
COLYEAR SPRINGS,041953,40.05,-122.68333,3304
CONCORD 2 SE,041961,37.95,-122,259
CONCORD 3 E,041962,37.96667,-121.98333,195
CONCORD AP,041960,37.98333,-122.01667,20
CONCORD BUCHANAN FLD,041964,37.99167,-122.055,18
CONCORD WWTP,041967,37.98333,-122.06917,40
COOL,041985,38.88333,-121.01667,1532
COPCO #1 DAM,041990,41.97972,-122.33778,2703
CORCORAN,042009,36.1,-119.55,200
CORCORAN IRRIG DIST,042012,36.0975,-119.58167,200
CORDES,042015,38.85,-122.78333,2612
CORNING HOUGHTON RCH,042027,39.9,-122.35,487
CORONA,042031,33.88333,-117.55,610
COVELO,042081,39.81583,-123.24444,1413
