Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
04/05/2015,Ozone,40,40,,11
04/06/2015,Ozone,44,44,9,5
04/07/2015,Ozone,39,39,,6
04/08/2015,Ozone,41,41,,3
04/09/2015,Ozone,37,37,,1
04/10/2015,Ozone,50,50,,8
04/11/2015,Ozone,40,40,,6
04/12/2015,Ozone,51,51,16,7
04/13/2015,Ozone,50,50,,13
04/14/2015,Ozone,47,47,,5
04/15/2015,Ozone,46,46,,0
04/16/2015,Ozone,36,36,,
04/17/2015,Ozone,54,54,,2
04/18/2015,Ozone,44,44,14,7
04/19/2015,Ozone,46,46,,9
04/20/2015,Ozone,80,80,,20
04/21/2015,Ozone,51,51,,27
04/22/2015,Ozone,46,46,,19
04/23/2015,Ozone,46,46,,8
04/24/2015,Ozone,45,45,9,0
04/25/2015,Ozone,44,44,,0
04/26/2015,Ozone,41,41,,0
04/27/2015,Ozone,40,40,,0
04/28/2015,Ozone,48,48,,3
04/29/2015,Ozone,48,48,,0
04/30/2015,Ozone,54,54,19,15
05/01/2015,Ozone,108,108,,10
05/02/2015,Ozone,119,119,,23
05/03/2015,Ozone,90,90,,25
05/04/2015,Ozone,80,80,,27
05/05/2015,Ozone,71,71,,25
05/06/2015,Ozone,54,54,30,1
05/07/2015,Ozone,49,49,,0
05/08/2015,Ozone,71,71,,13
05/09/2015,Ozone,84,84,,18
05/10/2015,Ozone,67,67,,27
05/11/2015,Ozone,49,49,,
05/12/2015,Ozone,47,47,7,
05/13/2015,Ozone,77,77,,
05/14/2015,Ozone,64,64,,
05/15/2015,Ozone,51,51,,
05/16/2015,Ozone,48,48,,
05/17/2015,Ozone,50,50,,
05/18/2015,Ozone,64,64,,
05/19/2015,Ozone,54,54,,
05/20/2015,Ozone,48,48,,
05/21/2015,Ozone,61,61,,
05/22/2015,Ozone,48,48,,9
05/23/2015,Ozone,51,51,,14
05/24/2015,Ozone,51,51,12,7
05/25/2015,Ozone,48,48,,21
05/26/2015,Ozone,58,58,,11
05/27/2015,Ozone,77,77,,10
05/28/2015,Ozone,71,71,,19
05/29/2015,Ozone,87,87,,15
05/30/2015,Ozone,90,90,20,15
05/31/2015,Ozone,54,54,,6
06/01/2015,Ozone,40,40,,0
06/02/2015,Ozone,42,42,,0
06/03/2015,Ozone,45,45,,0
06/04/2015,Ozone,50,50,,3
06/05/2015,Ozone,64,64,16,0
06/06/2015,Ozone,84,84,,10
06/07/2015,Ozone,71,71,,11
06/08/2015,Ozone,112,112,,16
06/09/2015,Ozone,105,105,,19
06/10/2015,Ozone,61,61,,10
06/11/2015,Ozone,84,84,17,11
06/12/2015,Ozone,54,54,,1
06/13/2015,Ozone,77,77,,45
06/14/2015,Ozone,64,64,,40
06/15/2015,Ozone,80,80,,51
06/16/2015,Ozone,100,100,,36
06/17/2015,Ozone,115,115,35,32
06/18/2015,Ozone,87,87,,32
06/19/2015,Ozone,64,64,,7
06/20/2015,Ozone,90,90,,10
06/21/2015,Ozone,58,58,,15
06/22/2015,Ozone,64,64,,8
06/23/2015,Ozone,74,74,19,3
06/24/2015,Ozone,119,119,,15
06/25/2015,Ozone,108,108,,22
06/26/2015,Ozone,129,129,,35
06/27/2015,Ozone,97,97,,28
06/28/2015,Ozone,50,50,,7
06/29/2015,Ozone,64,64,18,7
06/30/2015,Ozone,71,71,,4
07/01/2015,Ozone,105,105,,22
07/02/2015,Ozone,100,100,,39
07/03/2015,Ozone,67,67,,29
07/04/2015,Ozone,80,80,,38
07/05/2015,Ozone,51,51,19,41
07/06/2015,Ozone,47,47,,18
07/07/2015,Ozone,39,39,,22
07/08/2015,Ozone,44,44,,18
07/09/2015,Ozone,43,43,,23
07/10/2015,Ozone,44,44,,
07/11/2015,Ozone,43,43,13,
07/12/2015,Ozone,40,40,,
07/13/2015,Ozone,47,47,,
07/14/2015,Ozone,54,54,,
07/15/2015,Ozone,67,67,,20
07/16/2015,Ozone,97,97,,18
07/17/2015,Ozone,100,100,20,11
07/18/2015,Ozone,67,67,,19
07/19/2015,Ozone,44,44,,11
07/20/2015,Ozone,47,47,,16
07/21/2015,Ozone,45,45,,23
07/22/2015,Ozone,50,50,,20
07/23/2015,Ozone,48,48,29,40
07/24/2015,Ozone,58,58,,30
07/25/2015,Ozone,58,58,,19
07/26/2015,Ozone,46,46,,8
07/27/2015,Ozone,35,35,,1
07/28/2015,Ozone,42,42,,0
07/29/2015,Ozone,112,112,26,5
07/30/2015,Ozone,112,112,,23
07/31/2015,Ozone,105,105,,47
08/01/2015,Ozone,90,90,,34
08/02/2015,Ozone,93,93,,43
08/03/2015,Ozone,64,64,,42
08/04/2015,Ozone,44,44,28,17
08/05/2015,Ozone,58,58,,17
08/06/2015,PM2.5,110,87,,110
08/07/2015,Ozone,64,64,,33
08/08/2015,Ozone,61,61,,37
08/09/2015,Ozone,61,61,,56
08/10/2015,PM2.5,153,71,61,153
08/11/2015,Ozone,40,40,,18
08/12/2015,Ozone,45,45,,1
08/13/2015,Ozone,47,47,,5
08/14/2015,Ozone,47,47,,24
08/15/2015,PM2.5,122,71,,122
08/16/2015,Ozone,80,80,38,77
08/17/2015,Ozone,97,97,,66
08/18/2015,Ozone,136,136,,67
08/19/2015,Ozone,100,100,,54
08/20/2015,Ozone,80,80,,31
08/21/2015,Ozone,108,108,,46
08/22/2015,Ozone,87,87,36,42
08/23/2015,Ozone,61,61,,31
08/24/2015,Ozone,44,44,,13
08/25/2015,Ozone,45,45,,12
08/26/2015,Ozone,43,43,,14
08/27/2015,Ozone,40,40,,10
08/28/2015,Ozone,38,38,35,8
08/29/2015,Ozone,35,35,,0
08/30/2015,Ozone,48,48,,0
08/31/2015,Ozone,71,71,,14
09/01/2015,Ozone,105,105,,11
09/02/2015,Ozone,47,47,,24
09/03/2015,Ozone,49,49,21,8
09/04/2015,Ozone,37,37,,13
09/05/2015,Ozone,45,45,,3
09/06/2015,Ozone,51,51,,3
09/07/2015,Ozone,80,80,,17
09/08/2015,Ozone,77,77,,20
09/09/2015,Ozone,74,74,32,
09/10/2015,Ozone,54,54,,
09/11/2015,Ozone,48,48,,
09/12/2015,Ozone,74,74,,
09/13/2015,Ozone,84,84,,
09/14/2015,Ozone,61,61,,
09/15/2015,Ozone,41,41,20,
09/16/2015,Ozone,39,39,,
09/17/2015,Ozone,48,48,,
09/18/2015,Ozone,67,67,,
09/19/2015,Ozone,74,74,,
09/20/2015,Ozone,93,93,,
09/21/2015,Ozone,80,80,21,
09/22/2015,Ozone,61,61,,
09/23/2015,Ozone,77,77,,
09/24/2015,Ozone,54,54,,
09/25/2015,Ozone,49,49,,
09/26/2015,Ozone,42,42,,
09/27/2015,Ozone,47,47,19,
09/28/2015,Ozone,48,48,,
09/29/2015,Ozone,50,50,,
09/30/2015,Ozone,46,46,,
10/01/2015,Ozone,42,42,,13
10/02/2015,Ozone,42,42,,0
10/03/2015,Ozone,44,44,27,0
10/04/2015,Ozone,50,50,,11
10/05/2015,Ozone,71,71,,24
10/06/2015,Ozone,93,93,,37
10/07/2015,Ozone,90,90,,35
10/08/2015,Ozone,87,87,,41
10/09/2015,Ozone,87,87,32,24
10/10/2015,Ozone,67,67,,20
10/11/2015,Ozone,51,51,,0
10/12/2015,Ozone,50,50,,2
10/13/2015,Ozone,49,49,,4
10/14/2015,Ozone,80,80,,8
10/15/2015,Ozone,101,101,40,18
10/16/2015,Ozone,84,84,,18
10/17/2015,Ozone,44,44,,8
10/18/2015,Ozone,42,42,,12
10/19/2015,Ozone,35,35,,0
10/20/2015,Ozone,35,35,,0
10/21/2015,Ozone,43,43,8,0
10/22/2015,Ozone,42,42,,4
10/23/2015,Ozone,43,43,,6
10/24/2015,Ozone,58,58,,24
10/25/2015,Ozone,44,44,,35
10/26/2015,Ozone,46,46,,5
10/27/2015,Ozone,46,46,15,0
10/28/2015,Ozone,43,43,,14
10/29/2015,Ozone,40,40,,1
10/30/2015,Ozone,39,39,,0
10/31/2015,Ozone,67,67,,45
11/01/2015,Ozone,27,27,,16
11/02/2015,Ozone,33,33,3,0
11/03/2015,Ozone,34,34,,0
11/04/2015,Ozone,33,33,,0
11/05/2015,Ozone,27,27,,3
11/06/2015,Ozone,26,26,,7
11/07/2015,Ozone,33,33,,17
11/08/2015,PM2.5,33,20,10,33
11/09/2015,Ozone,28,28,,9
11/10/2015,Ozone,24,24,,13
11/11/2015,Ozone,24,24,,23
11/12/2015,Ozone,30,30,,18
11/13/2015,Ozone,29,29,,17
11/14/2015,PM2.5,49,36,16,49
11/15/2015,Ozone,32,32,,15
11/16/2015,Ozone,33,33,,0
11/17/2015,Ozone,19,19,,15
11/18/2015,PM2.5,32,24,,32
11/19/2015,PM2.5,44,23,,44
11/20/2015,PM10,7,,7,4
11/21/2015,Ozone,21,21,,5
11/22/2015,Ozone,19,19,,6
11/23/2015,PM2.5,28,22,,28
11/24/2015,Ozone,28,28,,11
11/25/2015,Ozone,22,22,,5
11/26/2015,Ozone,28,28,5,0
11/27/2015,Ozone,27,27,,0
11/28/2015,Ozone,27,27,,1
11/29/2015,Ozone,23,23,,7
11/30/2015,Ozone,21,21,,10
12/01/2015,PM2.5,36,21,,36
12/02/2015,PM2.5,28,22,,28
12/03/2015,PM2.5,61,24,,61
12/04/2015,Ozone,19,19,,15
12/05/2015,PM2.5,33,9,,33
12/06/2015,Ozone,23,23,,15
12/07/2015,Ozone,10,10,,2
12/08/2015,PM2.5,35,13,11,35
12/09/2015,Ozone,18,18,,7
12/10/2015,Ozone,27,27,,6
12/11/2015,Ozone,20,20,,6
12/12/2015,Ozone,20,20,,18
12/13/2015,Ozone,29,29,,0
12/14/2015,Ozone,25,25,4,0
12/15/2015,Ozone,24,24,,0
12/16/2015,PM2.5,30,20,,30
12/17/2015,PM2.5,67,15,,67
12/18/2015,PM2.5,63,14,,63
12/19/2015,PM2.5,21,14,,21
12/20/2015,Ozone,20,20,6,10
12/21/2015,Ozone,19,19,,3
12/22/2015,Ozone,24,24,,0
12/23/2015,Ozone,22,22,,0
12/24/2015,Ozone,22,22,,6
12/25/2015,Ozone,24,24,,4
12/26/2015,Ozone,26,26,5,3
12/27/2015,PM2.5,21,20,,21
12/28/2015,Ozone,23,23,,0
12/29/2015,Ozone,23,23,,10
12/30/2015,PM2.5,36,18,,36
12/31/2015,Ozone,26,26,,0
