Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
10/05/2015,Ozone,43,43,14,14
10/06/2015,Ozone,44,44,18,20
10/07/2015,Ozone,64,64,27,28
10/08/2015,Ozone,67,67,28,31
10/09/2015,Ozone,74,74,28,25
10/10/2015,Ozone,84,84,21,15
10/11/2015,Ozone,51,51,14,13
10/12/2015,Ozone,50,50,23,17
10/13/2015,Ozone,58,58,30,19
10/14/2015,Ozone,47,47,24,13
10/15/2015,Ozone,39,39,17,18
10/16/2015,Ozone,42,42,16,24
10/17/2015,Ozone,34,34,8,15
10/18/2015,Ozone,39,39,7,8
10/19/2015,Ozone,37,37,7,2
10/20/2015,Ozone,39,39,17,12
10/21/2015,Ozone,37,37,21,14
10/22/2015,Ozone,35,35,24,19
10/23/2015,Ozone,50,50,29,22
10/24/2015,Ozone,61,61,32,24
10/25/2015,Ozone,48,48,23,28
10/26/2015,Ozone,51,51,24,11
10/27/2015,Ozone,44,44,35,19
10/28/2015,Ozone,38,38,11,19
10/29/2015,Ozone,41,41,19,15
10/30/2015,Ozone,43,43,22,14
10/31/2015,Ozone,30,30,20,11
11/01/2015,Ozone,35,35,11,17
11/02/2015,Ozone,35,35,8,7
11/03/2015,Ozone,32,32,11,12
11/04/2015,Ozone,35,35,10,5
11/05/2015,Ozone,36,36,8,8
11/06/2015,Ozone,39,39,12,17
11/07/2015,Ozone,41,41,11,13
11/08/2015,Ozone,37,37,8,10
11/09/2015,Ozone,38,38,4,0
11/10/2015,Ozone,35,35,7,9
11/11/2015,Ozone,36,36,7,9
11/12/2015,Ozone,35,35,9,17
11/13/2015,Ozone,37,37,11,27
11/14/2015,Ozone,43,43,14,23
11/15/2015,Ozone,35,35,8,10
11/16/2015,Ozone,37,37,9,9
11/17/2015,Ozone,34,34,12,19
11/18/2015,Ozone,32,32,13,15
11/19/2015,Ozone,34,34,12,23
11/20/2015,Ozone,34,34,11,15
11/21/2015,Ozone,35,35,10,18
11/22/2015,Ozone,40,40,12,28
11/23/2015,Ozone,36,36,12,30
11/24/2015,Ozone,30,30,10,23
11/25/2015,Ozone,32,32,7,17
11/26/2015,Ozone,31,31,6,22
11/27/2015,Ozone,31,31,7,13
11/28/2015,Ozone,30,30,8,16
11/29/2015,Ozone,32,32,9,19
11/30/2015,PM2.5,37,35,16,37
12/01/2015,PM2.5,38,35,14,38
12/02/2015,Ozone,35,35,15,25
12/03/2015,Ozone,36,36,13,15
12/04/2015,Ozone,34,34,7,8
12/05/2015,Ozone,30,30,8,18
12/06/2015,Ozone,31,31,9,19
12/07/2015,Ozone,32,32,10,26
12/08/2015,PM2.5,27,25,14,27
12/09/2015,Ozone,23,23,8,15
12/10/2015,Ozone,34,34,7,12
12/11/2015,Ozone,33,33,6,8
12/12/2015,Ozone,33,33,12,17
12/13/2015,Ozone,35,35,8,13
12/14/2015,Ozone,31,31,8,10
12/15/2015,Ozone,27,27,6,12
12/16/2015,Ozone,26,26,8,9
12/17/2015,Ozone,30,30,7,8
12/18/2015,Ozone,31,31,6,9
12/19/2015,Ozone,31,31,4,7
12/20/2015,Ozone,26,26,6,5
12/21/2015,Ozone,29,29,3,7
12/22/2015,Ozone,32,32,5,10
12/23/2015,Ozone,30,30,14,18
12/24/2015,Ozone,31,31,8,13
12/25/2015,Ozone,31,31,8,13
12/26/2015,Ozone,31,31,5,8
12/27/2015,Ozone,31,31,6,13
12/28/2015,Ozone,25,25,9,23
12/29/2015,Ozone,31,31,8,23
12/30/2015,Ozone,31,31,9,22
12/31/2015,PM2.5,34,31,12,34
