County,Year,Area burned percent
Humboldt,2003,1.10684692222
Humboldt,2002,0.00507989091898
Humboldt,2001,0.0336323812567
Imperial,2015,0.0
Imperial,2014,0.0
Imperial,2013,0.0
Imperial,2012,0.0
Imperial,2011,0.0
Imperial,2010,0.0
Imperial,2009,0.0
Imperial,2008,0.0
Imperial,2007,0.0
Imperial,2006,0.0
Imperial,2005,0.0
Imperial,2004,0.0
Imperial,2003,0.0
Imperial,2002,0.0
Imperial,2001,0.000112232437868
Inyo,2015,0.107462468863
Inyo,2014,0.00210259329252
Inyo,2013,0.00672215957756
Inyo,2012,0.000322295322212
Inyo,2011,0.100540793134
Inyo,2010,4.60421888874e-05
Inyo,2009,0.0155315650514
Inyo,2008,0.0120170112996
Inyo,2007,0.00122779170366
Inyo,2006,0.0
Inyo,2005,0.0025630151814
