Date,Main Pollutant,Overall AQI Value,PM10,PM25
10/16/2015,PM10,3,3,
10/17/2015,PM10,3,3,
10/18/2015,PM2.5,4,4,4
10/19/2015,PM10,3,3,
10/20/2015,PM10,4,4,
10/21/2015,PM10,7,7,5
10/22/2015,PM10,8,8,
10/23/2015,PM10,9,9,
10/24/2015,PM10,14,14,8
10/25/2015,PM10,4,4,
10/26/2015,PM10,4,4,
10/27/2015,PM10,8,8,3
10/28/2015,PM10,4,4,
10/29/2015,PM10,5,5,
10/30/2015,PM10,10,10,2
10/31/2015,PM10,5,5,
11/01/2015,PM10,5,5,
11/02/2015,PM10,6,6,0
11/03/2015,PM10,3,3,
11/04/2015,PM10,6,6,
11/05/2015,PM10,24,24,3
11/06/2015,PM10,19,19,
11/07/2015,PM10,30,30,
11/08/2015,PM10,14,14,3
11/09/2015,PM10,4,4,
11/10/2015,PM10,4,4,
11/11/2015,PM10,20,20,3
11/12/2015,PM10,34,34,
11/13/2015,PM10,31,31,
11/14/2015,PM10,17,17,3
11/15/2015,PM10,356,356,
11/16/2015,PM10,9,9,
11/17/2015,PM10,26,26,1
11/18/2015,PM10,29,29,
11/19/2015,PM10,31,31,
11/20/2015,PM10,27,27,3
11/21/2015,PM10,29,29,
11/22/2015,PM10,30,30,
11/23/2015,PM10,9,9,3
11/24/2015,PM10,778,778,
11/25/2015,PM10,28,28,
11/26/2015,PM10,8,8,3
11/27/2015,PM10,3,3,
11/28/2015,PM10,24,24,
11/29/2015,PM10,41,41,3
11/30/2015,PM10,24,24,
12/01/2015,PM10,38,38,
12/02/2015,PM10,48,48,2
12/03/2015,PM10,482,482,
12/04/2015,PM10,10,10,
12/05/2015,PM10,55,55,3
12/06/2015,PM10,1968,1968,
12/07/2015,PM10,6,6,
12/08/2015,PM10,19,19,1
12/09/2015,PM10,326,326,
12/10/2015,PM10,609,609,
12/11/2015,PM10,14,14,0
12/12/2015,PM10,19,19,
12/13/2015,PM10,153,153,
12/14/2015,PM10,16,16,1
12/15/2015,PM10,19,19,
12/16/2015,PM10,27,27,
12/17/2015,PM10,19,19,2
12/18/2015,PM10,18,18,
12/19/2015,PM10,5,5,
12/20/2015,PM10,4,4,0
12/21/2015,PM10,4,4,
12/22/2015,PM10,173,173,
12/23/2015,PM10,13,13,5
12/24/2015,PM10,8,8,
12/25/2015,PM10,3,3,
12/26/2015,PM10,47,47,1
12/27/2015,PM10,28,28,
12/28/2015,PM10,4,4,
12/29/2015,PM10,31,31,1
12/30/2015,PM10,13,13,
12/31/2015,PM10,41,41,
