County,Year,Total number of acres burned
Colusa,2013,11
Contra Costa,2013,3971
Del Norte,2013,15
El Dorado,2013,586
Fresno,2013,509
Glenn,2013,224
Humboldt,2013,335
Imperial,2013,0
Inyo,2013,438
Kern,2013,0
Kings,2013,6
Lake,2013,870
Lassen,2013,181
Los Angeles,2013,0
Madera,2013,1153
Marin,2013,0
Mariposa,2013,132
Mendocino,2013,696
Merced,2013,286
Modoc,2013,629
Mono,2013,0
Monterey,2013,202
Napa,2013,447
Nevada,2013,131
Orange,2013,0
Placer,2013,175
Plumas,2013,2
Riverside,2013,49460
Sacramento,2013,83
San Benito,2013,466
San Bernardino,2013,666
San Diego,2013,13319
San Francisco,2013,0
San Joaquin,2013,476
San Luis Obispo,2013,407
San Mateo,2013,13
Santa Barbara,2013,0
Santa Clara,2013,148
Santa Cruz,2013,45
Shasta,2013,8696
Sierra,2013,4
Siskiyou,2013,135
Solano,2013,166
Sonoma,2013,4189
Stanislaus,2013,272
Sutter,2013,1
Tehama,2013,19064
Trinity,2013,23
Tulare,2013,529
Tuolumne,2013,203
Ventura,2013,0
Yolo,2013,189
Yuba,2013,229
Alameda,2012,115
Alpine,2012,0
Amador,2012,102
Butte,2012,311
Calaveras,2012,569
Colusa,2012,4285
Contra Costa,2012,145
Del Norte,2012,122
El Dorado,2012,297
Fresno,2012,574
Glenn,2012,5
Humboldt,2012,216
Imperial,2012,0
Inyo,2012,21
Kern,2012,0
Kings,2012,52
Lake,2012,8355
Lassen,2012,298
Los Angeles,2012,0
Madera,2012,188
Marin,2012,0
Mariposa,2012,1750
Mendocino,2012,5333
Merced,2012,456
Modoc,2012,13
Mono,2012,0
Monterey,2012,2817
Napa,2012,236
Nevada,2012,72
Orange,2012,0
Placer,2012,2724
Plumas,2012,101
Riverside,2012,6256
Sacramento,2012,89
San Benito,2012,55
San Bernardino,2012,1466
San Diego,2012,35213
San Francisco,2012,0
San Joaquin,2012,291
San Luis Obispo,2012,1121
San Mateo,2012,20
Santa Barbara,2012,0
Santa Clara,2012,26
Santa Cruz,2012,122
Shasta,2012,2134
Sierra,2012,2
Siskiyou,2012,592
Solano,2012,235
Sonoma,2012,123
Stanislaus,2012,89
Sutter,2012,0
Tehama,2012,30285
Trinity,2012,20
Tulare,2012,187
Tuolumne,2012,1174
Ventura,2012,0
Yolo,2012,20182
Yuba,2012,117
Alameda,2011,1507
Alpine,2011,0
Amador,2011,115
Butte,2011,276
Calaveras,2011,1146
Colusa,2011,77
Contra Costa,2011,474
Del Norte,2011,3
El Dorado,2011,109
Fresno,2011,1318
Glenn,2011,2
Humboldt,2011,695
Imperial,2011,0
Inyo,2011,6551
Kern,2011,0
Kings,2011,48
Lake,2011,83
Lassen,2011,59
Los Angeles,2011,0
Madera,2011,702
Marin,2011,0
Mariposa,2011,112
Mendocino,2011,766
Merced,2011,1397
Modoc,2011,33
Mono,2011,0
Monterey,2011,1801
Napa,2011,619
Nevada,2011,44
Orange,2011,0
Placer,2011,58
Plumas,2011,4
Riverside,2011,2318
Sacramento,2011,60
San Benito,2011,119
